FirstName,LastName,Email,Designation,City,Country,ProfileLink,Source,PhoneNumber,OrganisationName,Industry,Purpose,WebsiteLink
Kristopher,Larson,,President & Owner,Saint George,Utah,,Clutch.co,,Best Utah Real Estate,Real estate,,
Anonymous,,,Executive,Warsaw,Poland,,Clutch.co,,Asynchronics,Software,,
Anonymous,,,Project Manager,Amsterdam,Netherlands,,Clutch.co,,Psychology Practice,Healthcare,,
Glen,Docherty,,Director of Delivery,Birmingham,England,,Clutch.co,,Substrakt,"Arts, entertainment & music",,
Donal,O'Byrne,,Project Manager,,Germany,,Clutch.co,,Distology Studios,Information technology,,
Anonymous,,,CEO,New Haven,Connecticut,,Clutch.co,,Travel Planning Platform,Social Networking,,
Robin,Beerman,,CTO & Founder,,Germany,,Clutch.co,,Illumbra Group,Business services,,
Dominique,Frith,,Chief Executive Officer,England,Arkansas,,Clutch.co,,TBP2 Ltd,Financial services,,
Nasser,Fawaz,,Founder & CEO,Dubai,United Arab Emirates,,Clutch.co,,Buzzin,IT Services,,
Richard,Ganpatsingh,,CTO,London,England,,Clutch.co,,IntelligentHealth,Wellness & Fitness,,
Casper,de Jong,,Co- Founder,Brussels,Belgium,,Clutch.co,,Meconed,Healthcare,,
Anonymous,,,Founder,,Saudi Arabia,,Clutch.co,,Customer Engagement Company,IT Services,,
Sarah,Ruest,,CTO,,Canada,,Clutch.co,,Heirlume,Legal,,
Jan,WIlliams,,CEO,Austin,Texas,,Clutch.co,,Surplus Marketplace,Consumer Products,,
Monika,Głowacka,,Owner,Warsaw,Poland,,Clutch.co,,ProSSto Pilates,Healthcare,,
Darek,Markiewicz,,Director of Engineering,Chicago,Illinois,,Clutch.co,,Webly,Telecommunications,,
Paul,Graeve,,Founder,Birmingham,Alabama,,Clutch.co,,data.simple,Information technology,,
Federico,Somaschini,,Product Manager,Milan,Italy,,Clutch.co,,Planet Namek,Software,,
Anonymous,,,Sr. Engineer,Barcelona,Spain,,Clutch.co,,Electric Scooter Sharing Company,Transportation,,
Anonymous,,,Executive,,Australia,,Clutch.co,,Marketing Automation Software,IT Services,,
Matthew,Yates,,Tech Lead,Bridgend,Wales,,Clutch.co,,Daydream Education,Software,,
Kristopher,Larson,,President & Owner,Saint George,Utah,,Clutch.co,,Best Utah Real Estate,Real estate,,
Anonymous,,,Owner,,Norway,,Clutch.co,,Web-Based Security Company,Other Industry,,
Nicolas,Kolmel,,Freelance Product Manager,,Germany,,Clutch.co,,,Financial services,,
Mike,Sweenem,,Founder,Leicester,England,,Clutch.co,,SimplifiedBody,Healthcare,,
Anonymous,,,Founder,,Sweden,,Clutch.co,,Location App,IT Services,,
Anonymous,,,Director,London,England,,Clutch.co,,Verda Studios,"Arts, entertainment & music",,
Ariel,Peled,,CTO,,Israel,,Clutch.co,,AcumenAI,Software,,
Anonymous,,,Co-Founder,,Canada,,Clutch.co,,Travel Recommendation Platform,Consumer products & services,,
Anonymous,,,CTO,Copenhagen,Denmark,,Clutch.co,,Reform Group Holding Aps,Retail,,
Anonymous,,,CPO,Amsterdam,Netherlands,,Clutch.co,,SaaS Company,Software,,
Anonymous,,,Engineering Lead,Palo Alto,California,,Clutch.co,,AI Gaming Company,Gaming,,
Leo,Li,,VP of Product Engineering,Toronto,Ontario,,Clutch.co,,EQ Works,Advertising & marketing,,
Anonymous,,,Director of Engineering,Austin,Texas,,Clutch.co,,Software Development Company,Software,,
